
12349;BOURAS                   ;Mohamed                  ; 60;DS-653-SD;   120,00;    24,00;   144,00
   120,00;    24,00;   144,00

12351;GILLIOT                  ;Xavier                   ;-50;GH-563-FG;   907,50;   181,50;  1089,00

   907,50;   181,50;  1089,00


12375;SCHOTT                   ;Jean-Louis               ; 23;BD-131-AA;   231,00;    46,20;   277,20



12375;SCHOTT                   ;Jean-Louis               ; 23;BD-231-AA;   231,00;    46,20;   277,20



   462,00;    92,40;   554,40




    3;    4;    3;  1489,50;   297,90;  1787,40
